path ,annotations
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/28483aab-c516-4744-88e9-7b0e7eef874e.jpg , "[{'label':  'clock' ,  'coordinates':  {'x':  274 ,  'y':  531 ,  'width':  474 ,  'height':  495} ,  'type':  'rectangle'} ,{'label':  'mac  mini' ,  'coordinates':  {'x':  750 ,  'y':  1044 ,  'width':  750 ,  'height':  738} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/3d0915ec-dd30-4cf9-b78e-f6562bf990d6.jpg , "[{'label':  'clock' ,  'coordinates':  {'x':  485 ,  'y':  658 ,  'width':  738 ,  'height':  422} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/d838d3a7-1390-4c18-bf2d-67cb30065006.jpg , "[{'label':  'yellow  sticky  note' ,  'coordinates':  {'x':  731 ,  'y':  508 ,  'width':  460 ,  'height':  438} ,  'type':  'rectangle'} ,{'label':  'pink  sticky  note' ,  'coordinates':  {'x':  357 ,  'y':  1033 ,  'width':  586 ,  'height':  596} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/3c5456a0-874a-4556-b96c-9b6b85c57df1.jpg , "[{'label':  'yellow  sticky  note' ,  'coordinates':  {'x':  596 ,  'y':  557 ,  'width':  447 ,  'height':  313} ,  'type':  'rectangle'} ,{'label':  'pink  sticky  note' ,  'coordinates':  {'x':  439 ,  'y':  1006 ,  'width':  580 ,  'height':  504} ,  'type':  'rectangle'} ,{'label':  'mac  mini' ,  'coordinates':  {'x':  613 ,  'y':  237 ,  'width':  618 ,  'height':  321} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/6d377e58-b5e4-4071-b3e7-846f2089cd42.jpg , "[{'label':  'yellow  sticky  note' ,  'coordinates':  {'x':  582 ,  'y':  560 ,  'width':  441 ,  'height':  400} ,  'type':  'rectangle'} ,{'label':  'pink  sticky  note' ,  'coordinates':  {'x':  543 ,  'y':  1095 ,  'width':  422 ,  'height':  452} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/b14e2252-a1e0-48fd-a159-096717d1ea37.jpg , "[{'label':  'scissor' ,  'coordinates':  {'x':  480 ,  'y':  820 ,  'width':  853 ,  'height':  468} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/2c941253-d99e-4e7e-ae16-be1b4680f7a0.jpg , "[{'label':  'scissor' ,  'coordinates':  {'x':  494 ,  'y':  886 ,  'width':  869 ,  'height':  623} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/cdc39bd1-a41a-4c29-a8e1-6c8b94f07e03.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  607 ,  'y':  848 ,  'width':  676 ,  'height':  547} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/1bca43de-464b-4366-bcf2-214d5b58ab1b.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  662 ,  'y':  957 ,  'width':  787 ,  'height':  662} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/c8dfe82c-a8d2-4270-8b3f-f5a41e11ed8a.jpg , "[{'label':  'scissor' ,  'coordinates':  {'x':  563 ,  'y':  780 ,  'width':  1123 ,  'height':  569} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/266c07ad-adc8-4bd3-8375-96487e54a294.jpg , "[{'label':  'scissor' ,  'coordinates':  {'x':  563 ,  'y':  852 ,  'width':  1125 ,  'height':  572} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/c32e089e-7f17-4ec5-96a1-3a18304b244c.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  585 ,  'y':  867 ,  'width':  1080 ,  'height':  825} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/30bb3cea-f364-42c8-b73a-8af002ce28db.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  615 ,  'y':  851 ,  'width':  1020 ,  'height':  749} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/7b9205c9-be60-4853-9dd6-bd5f02a3bcfe.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  471 ,  'y':  908 ,  'width':  942 ,  'height':  770} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/726e0727-651e-43e8-a7cc-253a2e2fdae3.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  442 ,  'y':  802 ,  'width':  884 ,  'height':  798} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/c42d4867-a196-42b5-b9fd-93fc3400b945.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  487 ,  'y':  708 ,  'width':  921 ,  'height':  1100} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/4fdf5780-d596-4eae-8ca3-8e0a27e7fee8.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  573 ,  'y':  667 ,  'width':  956 ,  'height':  713} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/676c3dc3-2737-4fe6-9f6d-267bb59e3b35.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  600 ,  'y':  505 ,  'width':  1050 ,  'height':  781} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/c7d73579-1ad7-427c-982f-305a9ed2f51f.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  487 ,  'y':  735 ,  'width':  490 ,  'height':  501} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/06d10302-d620-4060-a8e1-718840b35833.jpg , "[{'label':  'scissor' ,  'coordinates':  {'x':  540 ,  'y':  712 ,  'width':  836 ,  'height':  438} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/99a7fc32-abde-4685-b26d-71577ccc5b2f.jpg , "[{'label':  'scissor' ,  'coordinates':  {'x':  533 ,  'y':  829 ,  'width':  839 ,  'height':  482} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/87f64a3f-c992-408c-b9f9-761b0a658eae.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  597 ,  'y':  920 ,  'width':  809 ,  'height':  670} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/3118f390-6885-4809-a969-350ead913da0.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  573 ,  'y':  922 ,  'width':  613 ,  'height':  721} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/c8ba1b2d-2f0e-4fcf-8422-c4a096a87f8b.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  470 ,  'y':  776 ,  'width':  632 ,  'height':  713} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/ead18412-0fb5-45a8-97f4-78fc449f37b5.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  533 ,  'y':  775 ,  'width':  708 ,  'height':  591} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/47eba999-1a23-4f39-9f50-2e3b3190dca4.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  503 ,  'y':  801 ,  'width':  561 ,  'height':  550} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/23929162-845d-4945-97c8-a714172f6060.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  443 ,  'y':  792 ,  'width':  534 ,  'height':  593} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/00ef22e9-c1ce-4197-b03d-e62504234197.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  513 ,  'y':  784 ,  'width':  809 ,  'height':  632} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/765d49ea-f6b7-4699-9e10-e8065b6e1dcf.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  503 ,  'y':  775 ,  'width':  899 ,  'height':  667} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/26856a93-d3a1-4c07-98a5-d3e911de8096.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  469 ,  'y':  833 ,  'width':  853 ,  'height':  735} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/f5ea9730-e460-4030-a72d-69aee3e3bdca.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  535 ,  'y':  859 ,  'width':  1070 ,  'height':  607} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/ef0e0260-aa65-488d-b610-e49f82bb49fc.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  558 ,  'y':  727 ,  'width':  1116 ,  'height':  860} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/777474fb-3e95-4aea-8d21-e84688ba7fce.jpg , "[{'label':  'paper' ,  'coordinates':  {'x':  564 ,  'y':  797 ,  'width':  1098 ,  'height':  607} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/6405878d-b20d-447b-9508-f25ba505e2d5.jpg , "[{'label':  'rock' ,  'coordinates':  {'x':  620 ,  'y':  810 ,  'width':  741 ,  'height':  678} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/9b8875c8-01ee-4027-bd2f-a52732470dbb.jpg , "[{'label':  'mac  mini' ,  'coordinates':  {'x':  960 ,  'y':  605 ,  'width':  330 ,  'height':  430} ,  'type':  'rectangle'} ,{'label':  'clock' ,  'coordinates':  {'x':  514 ,  'y':  413 ,  'width':  430 ,  'height':  308} ,  'type':  'rectangle'} ,{'label':  'pen' ,  'coordinates':  {'x':  612 ,  'y':  987 ,  'width':  768 ,  'height':  226} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/9a3ccc9d-874e-4a4d-9a4f-6ad2f87a9c0a.jpg , "[{'label':  'clock' ,  'coordinates':  {'x':  306 ,  'y':  338 ,  'width':  428 ,  'height':  289} ,  'type':  'rectangle'} ,{'label':  'mac  mini' ,  'coordinates':  {'x':  850 ,  'y':  524 ,  'width':  509 ,  'height':  389} ,  'type':  'rectangle'} ,{'label':  'apple  pencil' ,  'coordinates':  {'x':  1010 ,  'y':  1028 ,  'width':  230 ,  'height':  525} ,  'type':  'rectangle'} ,{'label':  'remote' ,  'coordinates':  {'x':  511 ,  'y':  908 ,  'width':  251 ,  'height':  847} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/4c7410f6-6bd4-4810-b383-0aee93ad2775.jpg , "[{'label':  'spray  bottle' ,  'coordinates':  {'x':  736 ,  'y':  696 ,  'width':  297 ,  'height':  879} ,  'type':  'rectangle'} ,{'label':  'hand  sanitizer' ,  'coordinates':  {'x':  300 ,  'y':  703 ,  'width':  373 ,  'height':  811} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/af6b28f8-bb25-4dfb-bb77-e15a32472a86.jpg , "[{'label':  'mac  mini' ,  'coordinates':  {'x':  973 ,  'y':  444 ,  'width':  303 ,  'height':  332} ,  'type':  'rectangle'} ,{'label':  'pen' ,  'coordinates':  {'x':  57 ,  'y':  1070 ,  'width':  114 ,  'height':  169} ,  'type':  'rectangle'} ,{'label':  'apple  pencil' ,  'coordinates':  {'x':  1055 ,  'y':  795 ,  'width':  140 ,  'height':  278} ,  'type':  'rectangle'} ,{'label':  'spray  bottle' ,  'coordinates':  {'x':  710 ,  'y':  678 ,  'width':  370 ,  'height':  985} ,  'type':  'rectangle'} ,{'label':  'hand  sanitizer' ,  'coordinates':  {'x':  278 ,  'y':  715 ,  'width':  259 ,  'height':  961} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/03688615-38a4-4a00-b032-b5e828efd586.jpg , "[{'label':  'mac  mini' ,  'coordinates':  {'x':  939 ,  'y':  449 ,  'width':  371 ,  'height':  272} ,  'type':  'rectangle'} ,{'label':  'hand  sanitizer' ,  'coordinates':  {'x':  278 ,  'y':  692 ,  'width':  319 ,  'height':  871} ,  'type':  'rectangle'} ,{'label':  'spray  bottle' ,  'coordinates':  {'x':  628 ,  'y':  660 ,  'width':  272 ,  'height':  972} ,  'type':  'rectangle'}] "
/Users/samuelfolledo/Desktop/Custom_AI_in_iOS/ML/ML_Model_Env/Images/dffc14fd-7bac-4a7c-a8c4-634c17f14ba4.jpg , "[{'label':  'spray  bottle' ,  'coordinates':  {'x':  423 ,  'y':  517 ,  'width':  286 ,  'height':  953} ,  'type':  'rectangle'}] "
